Task ID,Layer,Category,Sub-Category,Task Name,Description,Estimated Days,Priority,Start Date,End Date,Status
T050,Backend,Payment Service,Core,POST /payments/webhook - Razorpay webhook handler,Verify webhook signature. Update payment status. Emit PAYMENT_SUCCESS or PAYMENT_FAILED event. Idempotency guard on razorpay_payment_id.,4,Critical,20-Mar-2026,25-Mar-2026,Not Started
T051,Backend,Payment Service,Core,GET /payments/:id/status - Payment status,Return current payment status for polling.,1,High,24-Mar-2026,24-Mar-2026,Not Started
T052,Backend,Payment Service,Core,Refund handling,Handle Razorpay refund webhooks. Update payment status to REFUNDED. Release inventory.,3,High,26-Mar-2026,28-Mar-2026,Not Started
T053,Backend,Catalog & Inventory,Core,Scaffold Catalog & Inventory Service project,Create project with DB + Redis.,1,Critical,12-Mar-2026,12-Mar-2026,Not Started
T054,Backend,Catalog & Inventory,Core,GET /catalog/:propertyId - List active products,Return active product catalog for a property. Cache in Redis for 5 min.,2,Critical,13-Mar-2026,14-Mar-2026,Not Started
T055,Backend,Catalog & Inventory,Core,GET /inventory/:productId/availability - Check stock,Return available and reserved stock. Cache for 10 seconds.,2,Critical,13-Mar-2026,14-Mar-2026,Not Started
T056,Backend,Catalog & Inventory,Core,POST /inventory/reserve - Temp hold,Atomically increment reserved_stock. Fail if available_stock <= 0.,2,Critical,17-Mar-2026,18-Mar-2026,Not Started
T057,Backend,Catalog & Inventory,Core,POST /inventory/release - Release hold,Decrement reserved_stock. Called by Hold Expiry Worker on timeout.,1,Critical,19-Mar-2026,19-Mar-2026,Not Started
T058,Backend,Catalog & Inventory,Core,POST /inventory/deduct - Permanent sale,Decrement available_stock. Increment sold_count. Called after payment webhook.,1,Critical,20-Mar-2026,20-Mar-2026,Not Started
T059,Backend,Catalog & Inventory,Core,POST /borrowables/checkout - Borrow item,Check inventory > 0. Anti-hoarding check (guest has no active checkout for same item). Decrement borrowed_out_count. Create borrowable_checkout row.,3,Critical,24-Mar-2026,26-Mar-2026,Not Started
T060,Backend,Catalog & Inventory,Core,POST /borrowables/return - Return item,Staff marks item returned. Increment borrowed_out_count. Set returned_at + returned_verified_by.,2,Critical,27-Mar-2026,28-Mar-2026,Not Started
T061,Backend,Order Service,Core,Scaffold Order Service project,Create project with DB client.,1,Critical,17-Mar-2026,17-Mar-2026,Not Started
T062,Backend,Order Service,Core,POST /orders/create - Create addon order,Validate items. Call Inventory Service to reserve stock. Create addon_order + addon_order_items rows. Return order_id + call Payment Service for Razorpay order.,3,Critical,18-Mar-2026,20-Mar-2026,Not Started
T063,Backend,Order Service,Core,GET /orders/:bookingId - All orders for booking,Return all orders for a booking with items and statuses.,1,High,21-Mar-2026,21-Mar-2026,Not Started
T064,Backend,Order Service,Core,Order fulfilment on payment success,Consume PAYMENT_SUCCESS event. Deduct inventory. Update order to PAID. Emit SYNC_TO_EZEE + CREATE_TASK.,3,Critical,24-Mar-2026,26-Mar-2026,Not Started
T065,Backend,Task & SLA Engine,Core,Scaffold Task & SLA Engine project,Create project with DB + BullMQ producer.,1,Critical,18-Mar-2026,18-Mar-2026,Not Started
T066,Backend,Task & SLA Engine,Core,POST /tasks - Create task (internal),Create staff_task. Auto-assign to min-load on-shift staff for department. Emit SLA_TIMER_START.,3,Critical,19-Mar-2026,21-Mar-2026,Not Started
T067,Backend,Task & SLA Engine,Core,GET /tasks/staff/:staffId - Assigned tasks,Return tasks for a specific staff member filtered by status and shift.,2,Critical,24-Mar-2026,25-Mar-2026,Not Started
T068,Backend,Task & SLA Engine,Core,POST /tasks/:id/acknowledge - Staff acknowledge,Set task to IN_PROGRESS. Record timestamp for SLA calculation.,2,Critical,24-Mar-2026,25-Mar-2026,Not Started
T069,Backend,Task & SLA Engine,Core,POST /tasks/:id/complete - Mark task complete,Set task to COMPLETED. Record completed_at. Notify guest.,2,Critical,26-Mar-2026,27-Mar-2026,Not Started
T070,Backend,Task & SLA Engine,Core,POST /tasks/:id/request-pause - Request SLA pause,Create sla_pause_request. Emit notification to supervisor.,2,High,28-Mar-2026,31-Mar-2026,Not Started
T071,Backend,Task & SLA Engine,Core,POST /tasks/:id/review-pause - Manager approve/reject,Manager sets pause status. If approved: freeze SLA timer. If rejected: timer continues.,2,High,01-Apr-2026,02-Apr-2026,Not Started
T072,Backend,Task & SLA Engine,Core,GET /tasks/property/:propertyId - Manager global view,All pending and in-progress tasks across a property with escalation flags.,2,High,03-Apr-2026,04-Apr-2026,Not Started
T073,Backend,Stay Extension Service,Core,Scaffold Stay Extension Service project,Create project with DB + eZee API client.,1,High,20-Mar-2026,20-Mar-2026,Not Started
T074,Backend,Stay Extension Service,Core,POST /extensions/check-availability - Check dates,Call eZee API for availability on new dates. Check if exact bed is available. Return same_bed_available flag + live rate.,3,High,21-Mar-2026,25-Mar-2026,Not Started
T075,Backend,Stay Extension Service,Core,POST /extensions/create - Create extension + payment,Create stay_extension record. Call Inventory to hold PMS slot (10 min). Create Razorpay order.,3,High,26-Mar-2026,28-Mar-2026,Not Started
T076,Backend,Stay Extension Service,Core,Extension confirmed on payment success,Update booking.checkout_date. Update stay_extension to CONFIRMED. Emit SYNC_EXTENSION_TO_EZEE + CREATE_TASK (Verify Bed Assignment).,3,High,01-Apr-2026,03-Apr-2026,Not Started
T077,Backend,Smart Lock Service,Core,Scaffold Smart Lock Service project,Create project with DB + MyGate API client.,1,High,24-Mar-2026,24-Mar-2026,Not Started
T078,Backend,Smart Lock Service,Core,Consume CHECKIN_COMPLETE - Generate PIN,Call MyGate API to generate PIN for physical_room. Store in smart_lock_access with valid_from/until.,3,Critical,25-Mar-2026,27-Mar-2026,Not Started
T079,Backend,Smart Lock Service,Core,GET /locks/:bookingId/pin - Guest views PIN,Return active PIN for booking if guest is CHECKED_IN.,2,Critical,28-Mar-2026,31-Mar-2026,Not Started
T080,Backend,Smart Lock Service,Core,Consume CHECKOUT event - Revoke PIN,Call MyGate API to revoke PIN on checkout. Set revoked_at.,2,High,01-Apr-2026,02-Apr-2026,Not Started
T081,Backend,Smart Lock Service,Core,Fallback: Manual key task on MyGate failure,If MyGate API fails: create HIGH priority staff task "Issue physical key to guest".,2,High,03-Apr-2026,04-Apr-2026,Not Started
T082,Backend,Notification Service,Core,Scaffold Notification Service project,Create project with WhatsApp Business API + SMTP + SMS clients.,2,Critical,12-Mar-2026,13-Mar-2026,Not Started
T083,Backend,Notification Service,Core,Consume SEND_OTP - Deliver OTP,Route OTP to WhatsApp or Email based on channel. Log to notification_log.,2,Critical,14-Mar-2026,17-Mar-2026,Not Started
T084,Backend,Notification Service,Core,Consume NOTIFY_STAFF - Task assignment alerts,Send WhatsApp/Push to assigned staff with task details.,2,Critical,19-Mar-2026,20-Mar-2026,Not Started
T085,Backend,Notification Service,Core,Consume PAYMENT_RECEIPT - Payment confirmation,Send payment receipt to guest via WhatsApp and email.,2,High,19-Mar-2026,20-Mar-2026,Not Started
T086,Backend,Notification Service,Core,Consume SLA_BREACH_ALERT - Escalation notifications,Send escalation alert to L1/L2/L3 staff when SLA breached.,2,High,21-Mar-2026,24-Mar-2026,Not Started
T087,Backend,Notification Service,Core,Consume BOOKING_CONFIRM - Booking confirmation,Send booking confirmation + KYC link to guest after booking is synced from eZee.,2,High,21-Mar-2026,24-Mar-2026,Not Started
T088,Workers,eZee Sync Worker,Core,Scaffold eZee Sync Worker,BullMQ worker project with eZee API client and ezee_sync_log table integration.,2,Critical,21-Mar-2026,24-Mar-2026,Not Started
T089,Workers,eZee Sync Worker,Core,Implement SYNC_TO_EZEE - AddExtraCharge,Consume job. Call eZee AddExtraCharge API. Log result. Retry on failure with exponential backoff.,3,Critical,25-Mar-2026,27-Mar-2026,Not Started
T090,Workers,eZee Sync Worker,Core,Implement SYNC_EXTENSION_TO_EZEE - Update departure date,Consume job. Call eZee API to update checkout date on reservation folio.,2,High,28-Mar-2026,31-Mar-2026,Not Started
T091,Workers,eZee Sync Worker,Core,Implement MARK_CHECKIN_EZEE - Sync check-in status,Consume job. Call eZee API to mark reservation as checked in.,2,High,01-Apr-2026,02-Apr-2026,Not Started
T092,Workers,eZee Sync Worker,Core,Rate limiter on eZee calls (5 req/sec max),Implement BullMQ rate limiter so no more than 5 jobs per second hit eZee API.,1,Critical,03-Apr-2026,03-Apr-2026,Not Started
T093,Workers,eZee Sync Worker,Core,Admin alert on 10+ retry failures,Alert manager via notification when sync fails 10 consecutive times.,1,Medium,04-Apr-2026,04-Apr-2026,Not Started
T094,Workers,SLA Timer Worker,Core,Scaffold SLA Timer Worker,BullMQ delayed job worker for SLA escalation loop.,1,Critical,21-Mar-2026,21-Mar-2026,Not Started
T095,Workers,SLA Timer Worker,Core,Implement SLA escalation loop (L0→L4),On timer fire: check task status. If PENDING → send reminder. Schedule 2nd timer. If still PENDING on 2nd → escalate to next level. Repeat.,4,Critical,24-Mar-2026,27-Mar-2026,Not Started
T096,Workers,SLA Timer Worker,Core,Respect SLA pause state,Skip escalation if task.sla_paused_at IS NOT NULL.,1,High,28-Mar-2026,28-Mar-2026,Not Started
T097,Workers,Hold Expiry Worker,Core,Scaffold Hold Expiry Worker,BullMQ delayed job worker.,1,Critical,20-Mar-2026,20-Mar-2026,Not Started
T098,Workers,Hold Expiry Worker,Core,Implement 10-min hold release,On timer fire: check payment status. If PENDING → mark ABANDONED. Call Inventory Service to release reserved_stock.,2,Critical,21-Mar-2026,24-Mar-2026,Not Started
T099,Frontend,Next.js Frontend,Setup,Scaffold Next.js project (monorepo PWA),Create Next.js 14 app with App Router. Configure TailwindCSS. Set up PWA manifest + service worker.,2,Critical,12-Mar-2026,13-Mar-2026,Not Started
T100,Frontend,Next.js Frontend,Setup,Set up frontend environment config,API base URL / Razorpay key / Google Client ID env vars. Dev + staging + prod configs.,1,High,14-Mar-2026,14-Mar-2026,Not Started
T101,Frontend,Next.js Frontend,Setup,Global state management and auth context,Zustand or React Context for auth state. JWT storage in HttpOnly cookie.,2,High,14-Mar-2026,17-Mar-2026,Not Started
T102,Frontend,Next.js Frontend,Setup,UI Design System,Define color palette / typography / spacing tokens. Build Button / Card / Input / Modal / Toast components.,4,High,14-Mar-2026,19-Mar-2026,Not Started
T103,Frontend,Auth,Auth Pages,Signup page - Email/Password,Form: name + email + password. POST /auth/signup. Redirect to verify email page.,2,Critical,19-Mar-2026,20-Mar-2026,Not Started
T104,Frontend,Auth,Auth Pages,Login page - Email/Password & Google OAuth,Login form + Google Sign-In button. JWT stored on success.,2,Critical,19-Mar-2026,20-Mar-2026,Not Started
T105,Frontend,Auth,Auth Pages,OTP verification page,6-digit OTP input. Countdown resend timer. POST /auth/otp/verify.,2,Critical,21-Mar-2026,24-Mar-2026,Not Started
T106,Frontend,Auth,Auth Pages,Guest profile page,Show verified email/phone status. Edit name and profile photo.,2,Medium,24-Mar-2026,25-Mar-2026,Not Started
T107,Frontend,Auth,Auth Pages,Booking ID link page,Guest enters booking_id to link it to their account. Triggers OTP approval flow.,2,Critical,25-Mar-2026,26-Mar-2026,Not Started
T108,Frontend,Auth,Auth Pages,Secondary guest approval flow,Primary guest receives WhatsApp. Clicks link. Lands on approve/reject page.,2,High,27-Mar-2026,28-Mar-2026,Not Started
T109,Frontend,Pre-checkin,Pre-Checkin Flow,Booking dashboard page,Show all linked bookings (active + historical). Status chips. Links to KYC / Add-ons / PIN.,2,Critical,26-Mar-2026,27-Mar-2026,Not Started
T110,Frontend,Pre-checkin,Pre-Checkin Flow,Nationality & ID type selection step,Dropdown: Indian / International. Select ID type. Dynamic form labels.,1,Critical,28-Mar-2026,28-Mar-2026,Not Started
T111,Frontend,Pre-checkin,Pre-Checkin Flow,ID document upload step,Camera/gallery upload for front + back. Preview + retry. Progress indicator.,3,Critical,31-Mar-2026,02-Apr-2026,Not Started
T112,Frontend,Pre-checkin,Pre-Checkin Flow,OCR review step - Confirm extracted data,Pre-filled form with OCR data. Highlight low-confidence fields. Manual correction allowed.,2,Critical,03-Apr-2026,06-Apr-2026,Not Started
T113,Frontend,Pre-checkin,Pre-Checkin Flow,Travel info step - Coming from / Going to / Purpose,3 text inputs. Mandatory for Form C compliance.,1,High,07-Apr-2026,07-Apr-2026,Not Started
T114,Frontend,Pre-checkin,Pre-Checkin Flow,Consent + submission + confirmation screen,"Consent checkbox. Submit. Show ""See you at the property"" confirmation screen.",1,Critical,07-Apr-2026,07-Apr-2026,Not Started
T115,Frontend,Pre-checkin,Kiosk,Kiosk check-in landing page (tablet),Full-screen. Enter mobile / scan QR. Fetch PRE_VERIFIED data.,2,Critical,08-Apr-2026,09-Apr-2026,Not Started
T116,Frontend,Pre-checkin,Kiosk,Selfie liveness capture step (kiosk),Prompt blink action. Auto-capture frame. Show processing spinner. Display face match result.,3,Critical,10-Apr-2026,14-Apr-2026,Not Started
T117,Frontend,Pre-checkin,Kiosk,Physical ID scan step (kiosk),Open rear camera. Overlay ID guide. Auto-capture on sharpness detection.,3,Critical,10-Apr-2026,14-Apr-2026,Not Started
T118,Frontend,Pre-checkin,Kiosk,G-Card review + signature pad (kiosk),Show generated G-Card PDF preview. Signature canvas using finger input.,2,Critical,15-Apr-2026,16-Apr-2026,Not Started
T119,Frontend,Pre-checkin,Kiosk,Check-in complete + PIN display screen,Show Room number and MyGate PIN. Print option.,1,Critical,17-Apr-2026,17-Apr-2026,Not Started
T120,Frontend,CxService,Catalog & Ordering,Service catalog page - Pre-arrival add-ons,Grid of commodities and services with prices. "Enhance Your Stay" layout.,2,Critical,28-Mar-2026,31-Mar-2026,Not Started
T121,Frontend,CxService,Catalog & Ordering,Add to cart and cart summary,Add/remove items. Show cart total. Price logic: Late Checkout ₹250 pre-booked vs higher same-day.,2,Critical,01-Apr-2026,02-Apr-2026,Not Started
T122,Frontend,CxService,Catalog & Ordering,Razorpay checkout integration,Razorpay JS SDK integration. Handle success / failure / dismiss callbacks.,3,Critical,03-Apr-2026,07-Apr-2026,Not Started
T123,Frontend,CxService,Catalog & Ordering,Payment success and order history page,Show confirmed add-ons. Receipt details. Send WhatsApp receipt trigger.,2,High,08-Apr-2026,09-Apr-2026,Not Started
T124,Frontend,CxService,During Stay,During-stay service catalog (Free / Borrowable / Chargeable),Three-tab layout with correct flow branching per item type.,2,Critical,08-Apr-2026,09-Apr-2026,Not Started
T125,Frontend,CxService,During Stay,Free request submission flow,Select free service (Room Cleaning / WiFi issue etc). Confirm. Show task tracking.,1,Critical,10-Apr-2026,10-Apr-2026,Not Started
T126,Frontend,CxService,During Stay,Borrowable request flow + availability check,Show real-time stock. Anti-hoarding error message. Request confirmation.,2,High,10-Apr-2026,13-Apr-2026,Not Started
T127,Frontend,CxService,During Stay,Task status tracking page,Real-time polling (or SSE) showing task status: Assigned / In Progress / Completed.,2,High,14-Apr-2026,15-Apr-2026,Not Started
T128,Frontend,CxService,Stay Extension,Extend stay page - Date picker,Date picker for new checkout. Fetch availability + rate from API. Show same-bed disclaimer if needed.,3,High,14-Apr-2026,16-Apr-2026,Not Started
T129,Frontend,CxService,Stay Extension,Extension Razorpay checkout,Same Razorpay integration. Confirm extension on success.,2,High,17-Apr-2026,18-Apr-2026,Not Started
T130,Frontend,StaffService,Staff Dashboard,Staff login,Separate staff login form. Staff JWT. Redirect to task feed.,2,Critical,08-Apr-2026,09-Apr-2026,Not Started
T131,Frontend,StaffService,Staff Dashboard,Task feed page (L0/L1),List of assigned tasks sorted by SLA urgency. Card: Room / Guest / Task type / Priority badge.,2,Critical,10-Apr-2026,13-Apr-2026,Not Started
T132,Frontend,StaffService,Staff Dashboard,Task card with acknowledge / complete buttons,Tap Acknowledge → IN_PROGRESS. Tap Complete → COMPLETED. SLA countdown timer visible.,2,Critical,14-Apr-2026,15-Apr-2026,Not Started
T133,Frontend,StaffService,Staff Dashboard,SLA pause request dialog,Staff taps "Request Pause". Select reason from dropdown. Submit to API. Show pending status.,2,High,15-Apr-2026,16-Apr-2026,Not Started
T134,Frontend,StaffService,Staff Dashboard,Borrowable return confirmation,Staff marks borrowable item as returned. Confirm dialog with item details.,1,High,17-Apr-2026,17-Apr-2026,Not Started
T135,Frontend,Admin,Manager Panel,Manager login,Admin JWT with elevated permissions.,1,High,15-Apr-2026,15-Apr-2026,Not Started
T136,Frontend,Admin,Manager Panel,Global task queue (all tasks across property),Table view of all tasks with filters by department / status / escalation level.,3,High,16-Apr-2026,20-Apr-2026,Not Started
T137,Frontend,Admin,Manager Panel,SLA pause approval screen,List of pending pause requests. Approve / Reject buttons.,2,High,21-Apr-2026,22-Apr-2026,Not Started
T138,Frontend,Admin,Manager Panel,Staff productivity metrics,Table: tasks completed / SLA breach count / avg resolution time per staff.,3,Medium,23-Apr-2026,25-Apr-2026,Not Started
T139,Frontend,Admin,Manager Panel,Inventory management panel,View stock levels. Adjust total_stock / damaged_count. Low-stock alerts.,3,Medium,23-Apr-2026,25-Apr-2026,Not Started
T140,Frontend,Admin,Manager Panel,eZee sync error dashboard,Table of FAILED / SYNC_PENDING entries in ezee_sync_log. Manual retry button.,2,Medium,28-Apr-2026,29-Apr-2026,Not Started
T141,QA & Testing,Testing,Unit Tests,Auth Service unit tests,Test OTP rate limiting / JWT generation / Google OAuth mock.,2,High,25-Mar-2026,26-Mar-2026,Not Started
T142,QA & Testing,Testing,Unit Tests,Booking Service unit tests,Test guest linking OTP flow / multi-booking history queries.,2,High,27-Mar-2026,28-Mar-2026,Not Started
T143,QA & Testing,Testing,Unit Tests,Inventory Service unit tests,Test atomic reserve / release / deduct / anti-hoarding logic.,2,Critical,01-Apr-2026,02-Apr-2026,Not Started
T144,QA & Testing,Testing,Unit Tests,Payment Service unit tests,Test webhook signature verification / idempotency / hold expiry.,2,Critical,01-Apr-2026,02-Apr-2026,Not Started
T145,QA & Testing,Testing,Unit Tests,Task & SLA Engine unit tests,Test auto-assignment load balancing / escalation level transitions / pause timer logic.,2,High,07-Apr-2026,08-Apr-2026,Not Started
T146,QA & Testing,Testing,Integration Tests,End-to-end: Full pre-arrival flow,Signup → Verify → Link booking → Complete KYC → Buy add-on → Confirm payment → Task created.,4,Critical,20-Apr-2026,23-Apr-2026,Not Started
T147,QA & Testing,Testing,Integration Tests,End-to-end: Kiosk check-in flow,Lookup → Face match → Scan ID → Sign → Complete → PIN generated.,3,Critical,24-Apr-2026,28-Apr-2026,Not Started
T148,QA & Testing,Testing,Integration Tests,End-to-end: During-stay service flow,Select free / borrowable / chargeable item → Full flow for each type.,3,High,24-Apr-2026,28-Apr-2026,Not Started
